HDR,ROLLING SYSTEM DEMAND
VD,20191009042500,24288
VD,20191009043000,24430
VD,20191009043500,24726
VD,20191009044000,24872
VD,20191009044500,25179
VD,20191009045000,25524
VD,20191009045500,25659
VD,20191009050000,25702
VD,20191009050500,26022
VD,20191009051000,26678
VD,20191009051500,27140
VD,20191009052000,27575
VD,20191009052500,27961
VD,20191009053000,28376
VD,20191009053500,29000
VD,20191009054000,29580
VD,20191009054500,30128
VD,20191009055000,30458
VD,20191009055500,30961
VD,20191009060000,31099
VD,20191009060500,31420
VD,20191009061000,31967
VD,20191009061500,32439
VD,20191009062000,32773
VD,20191009062500,32975
VD,20191009063000,33274
VD,20191009063500,33530
VD,20191009064000,33784
VD,20191009064500,34032
VD,20191009065000,34161
VD,20191009065500,34207
VD,20191009070000,34212
VD,20191009070500,34194
VD,20191009071000,34301
VD,20191009071500,34294
VD,20191009072000,34126
VD,20191009072500,34229
VD,20191009073000,34267
VD,20191009073500,34246
VD,20191009074000,34154
VD,20191009074500,33898
VD,20191009075000,33875
VD,20191009075500,33835
VD,20191009080000,33900
VD,20191009080500,33999
VD,20191009081000,34099
VD,20191009081500,34041
VD,20191009082000,33932
VD,20191009082500,33854
VD,20191009083000,33628
VD,20191009083500,33503
VD,20191009084000,33290
VD,20191009084500,33098
VD,20191009085000,33144
VD,20191009085500,33080
VD,20191009090000,33183
VD,20191009090500,33390
VD,20191009091000,33466
VD,20191009091500,33302
VD,20191009092000,33155
VD,20191009092500,32924
VD,20191009093000,32772
VD,20191009093500,32598
VD,20191009094000,32448
VD,20191009094500,32378
VD,20191009095000,32366
VD,20191009095500,32087
VD,20191009100000,32151
VD,20191009100500,31905
VD,20191009101000,31887
VD,20191009101500,31858
VD,20191009102000,31633
VD,20191009102500,31408
VD,20191009103000,31277
VD,20191009103500,31318
VD,20191009104000,31381
VD,20191009104500,31401
VD,20191009105000,31574
VD,20191009105500,31659
VD,20191009110000,31405
VD,20191009110500,31086
VD,20191009111000,30891
VD,20191009111500,30601
VD,20191009112000,30466
VD,20191009112500,30425
VD,20191009113000,30377
VD,20191009113500,30438
VD,20191009114000,30396
VD,20191009114500,30375
VD,20191009115000,30285
VD,20191009115500,30325
VD,20191009120000,30210
VD,20191009120500,30059
VD,20191009121000,30077
VD,20191009121500,29981
VD,20191009122000,29998
VD,20191009122500,29931
VD,20191009123000,29874
VD,20191009123500,29820
VD,20191009124000,29834
VD,20191009124500,29707
VD,20191009125000,29783
VD,20191009125500,29737
VD,20191009130000,29706
VD,20191009130500,29851
VD,20191009131000,30060
VD,20191009131500,30180
VD,20191009132000,30164
VD,20191009132500,30163
VD,20191009133000,30130
VD,20191009133500,30174
VD,20191009134000,30283
VD,20191009134500,30358
VD,20191009135000,30392
VD,20191009135500,30360
VD,20191009140000,30276
VD,20191009140500,30089
VD,20191009141000,30191
VD,20191009141500,30159
VD,20191009142000,30269
VD,20191009142500,30299
VD,20191009143000,30525
VD,20191009143500,30772
VD,20191009144000,31042
VD,20191009144500,31216
VD,20191009145000,31411
VD,20191009145500,31620
VD,20191009150000,31739
VD,20191009150500,31902
VD,20191009151000,32160
VD,20191009151500,32198
VD,20191009152000,32476
VD,20191009152500,32767
VD,20191009153000,33135
VD,20191009153500,33321
VD,20191009154000,33284
VD,20191009154500,33289
VD,20191009155000,33695
VD,20191009155500,33894
VD,20191009160000,33994
VD,20191009160500,34415
VD,20191009161000,34485
VD,20191009161500,34564
VD,20191009162000,34959
VD,20191009162500,35265
VD,20191009163000,35310
VD,20191009163500,35332
VD,20191009164000,35605
VD,20191009164500,35693
VD,20191009165000,35776
VD,20191009165500,35987
VD,20191009170000,36103
VD,20191009170500,36606
VD,20191009171000,36614
VD,20191009171500,36694
VD,20191009172000,36823
VD,20191009172500,37080
VD,20191009173000,37289
VD,20191009173500,37642
VD,20191009174000,37847
VD,20191009174500,37877
VD,20191009175000,37978
VD,20191009175500,38012
VD,20191009180000,38228
VD,20191009180500,38321
VD,20191009181000,38165
VD,20191009181500,37933
VD,20191009182000,37820
VD,20191009182500,37697
VD,20191009183000,37476
VD,20191009183500,37290
VD,20191009184000,37251
VD,20191009184500,37028
VD,20191009185000,36955
VD,20191009185500,36663
VD,20191009190000,36312
VD,20191009190500,36232
VD,20191009191000,36013
VD,20191009191500,35728
VD,20191009192000,35563
VD,20191009192500,35452
VD,20191009193000,35260
VD,20191009193500,34933
VD,20191009194000,34628
VD,20191009194500,34298
VD,20191009195000,34133
VD,20191009195500,33907
VD,20191009200000,33770
VD,20191009200500,33434
VD,20191009201000,33144
VD,20191009201500,32728
VD,20191009202000,32432
VD,20191009202500,32212
VD,20191009203000,31830
VD,20191009203500,31452
VD,20191009204000,31131
VD,20191009204500,30813
VD,20191009205000,30474
VD,20191009205500,30197
VD,20191009210000,29640
VD,20191009210500,29370
VD,20191009211000,28994
VD,20191009211500,28682
VD,20191009212000,28260
VD,20191009212500,27972
VD,20191009213000,27875
VD,20191009213500,27593
VD,20191009214000,27076
VD,20191009214500,26743
VD,20191009215000,26432
VD,20191009215500,26178
VD,20191009220000,25930
VD,20191009220500,25440
VD,20191009221000,25173
VD,20191009221500,24687
VD,20191009222000,24441
VD,20191009222500,24234
VD,20191009223000,24011
VD,20191009223500,23810
VD,20191009224000,23604
VD,20191009224500,23402
VD,20191009225000,23385
VD,20191009225500,23369
VD,20191009230000,23242
VD,20191009230500,23050
VD,20191009231000,23008
VD,20191009231500,22842
VD,20191009232000,22666
VD,20191009232500,22459
VD,20191009233000,22382
VD,20191009233500,22335
VD,20191009234000,22239
VD,20191009234500,22176
VD,20191009235000,22070
VD,20191009235500,22029
VD,20191010000000,21995
VD,20191010000500,22140
VD,20191010001000,22106
VD,20191010001500,22097
VD,20191010002000,22072
VD,20191010002500,22005
VD,20191010003000,21988
VD,20191010003500,22162
VD,20191010004000,22304
VD,20191010004500,22362
VD,20191010005000,22318
VD,20191010005500,22283
VD,20191010010000,22219
VD,20191010010500,22292
VD,20191010011000,22277
VD,20191010011500,22195
VD,20191010012000,22172
VD,20191010012500,22087
VD,20191010013000,22076
VD,20191010013500,22117
VD,20191010014000,22046
VD,20191010014500,21994
VD,20191010015000,21941
VD,20191010015500,21885
VD,20191010020000,21651
VD,20191010020500,21419
VD,20191010021000,21524
VD,20191010021500,21577
VD,20191010022000,21508
VD,20191010022500,21400
VD,20191010023000,21308
VD,20191010023500,21241
VD,20191010024000,21128
VD,20191010024500,21137
VD,20191010025000,21173
VD,20191010025500,21368
VD,20191010030000,21410
VD,20191010030500,21542
VD,20191010031000,21556
VD,20191010031500,21443
VD,20191010032000,21358
VD,20191010032500,21354
VD,20191010033000,21272
VD,20191010033500,21368
VD,20191010034000,21400
VD,20191010034500,21381
VD,20191010035000,21452
VD,20191010035500,21555
VD,20191010040000,21482
VD,20191010040500,21720
VD,20191010041000,21951
VD,20191010041500,21855
VD,20191010042000,21962
VD,20191010042500,22050
VD,20191010043000,22201
VD,20191010043500,22447
VD,20191010044000,22733
VD,20191010044500,22933
VD,20191010045000,23217
VD,20191010045500,23448
VD,20191010050000,23832
VD,20191010050500,24375
VD,20191010051000,25027
VD,20191010051500,25504
VD,20191010052000,26040
VD,20191010052500,26487
VD,20191010053000,26962
VD,20191010053500,27511
VD,20191010054000,28146
VD,20191010054500,28665
VD,20191010055000,29150
VD,20191010055500,29640
VD,20191010060000,30208
VD,20191010060500,30846
VD,20191010061000,31479
VD,20191010061500,32007
VD,20191010062000,32281
VD,20191010062500,32530
VD,20191010063000,32662
VD,20191010063500,32745
VD,20191010064000,32848
VD,20191010064500,33020
VD,20191010065000,33206
VD,20191010065500,33253
VD,20191010070000,33550
VD,20191010070500,33817
VD,20191010071000,34083
VD,20191010071500,34138
VD,20191010072000,34165
VD,20191010072500,33975
VD,20191010073000,33907
VD,20191010073500,33778
VD,20191010074000,33525
VD,20191010074500,33336
VD,20191010075000,33188
VD,20191010075500,33269
VD,20191010080000,33198
